Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.8333333333333334,0.0,54.95,0.8666666666666667
10,23.95,0.3,0.9166666666666666,0.8333333333333334,0.8
11,1.2,0.43333333333333335,0.0,2.15,54.93333333333333
12,0.6,1.65,0.4666666666666667,1.4833333333333334,40.083333333333336
13,2.5166666666666666,7.366666666666666,22.2,3.75,3.033333333333333
14,19.683333333333334,1.2666666666666666,0.38333333333333336,6.016666666666667,6.9
15,41.0,0.7166666666666667,0.0,3.5166666666666666,1.1166666666666667
16,5.75,0.6666666666666666,0.6833333333333333,0.5166666666666667,1.65
17,1.7333333333333334,1.6833333333333333,6.25,11.383333333333333,15.8
18,8.1,3.35,17.25,0.15,0.31666666666666665
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,60.0,0.0,0.0
21,2.8666666666666667,0.75,22.233333333333334,1.6833333333333333,0.6833333333333333
22,0.0,1.1166666666666667,58.88333333333333,0.0,0.0
23,0.0,0.6166666666666667,24.983333333333334,0.4,1.0
