Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.31666666666666665,0.0,0.4666666666666667,41.35,0.0
10,22.15,1.2666666666666666,5.316666666666666,0.2833333333333333,0.7166666666666667
11,2.8666666666666667,5.933333333333334,0.2,0.75,0.4
12,2.316666666666667,4.683333333333334,7.016666666666667,0.16666666666666666,0.21666666666666667
13,0.7166666666666667,0.31666666666666665,0.3,1.5833333333333333,2.0166666666666666
14,0.8666666666666667,0.5666666666666667,1.2833333333333334,8.05,1.7833333333333334
15,8.516666666666667,1.65,0.48333333333333334,1.1,0.5166666666666667
16,5.533333333333333,1.05,0.8,3.55,10.633333333333333
17,39.7,1.1833333333333333,0.5166666666666667,0.65,2.433333333333333
18,2.1333333333333333,35.11666666666667,0.48333333333333334,0.65,3.066666666666667
19,6.75,0.15,0.6833333333333333,5.733333333333333,4.216666666666667
20,7.45,1.7,0.4166666666666667,6.716666666666667,0.26666666666666666
21,3.1,0.3,1.3666666666666667,4.966666666666667,0.18333333333333332
22,4.05,10.8,0.5666666666666667,19.033333333333335,11.95
23,4.483333333333333,19.85,8.25,9.983333333333333,1.0333333333333334
