Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.75,47.666666666666664,7.95,1.4166666666666667
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,15.466666666666667,43.28333333333333,0.3,0.95
6,0.0,0.0,0.0,0.0,60.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.25,3.933333333333333,46.35
9,2.25,5.65,0.6333333333333333,49.65,0.0
10,0.0,0.0,3.716666666666667,55.38333333333333,0.9
11,4.916666666666667,0.8666666666666667,2.933333333333333,1.6166666666666667,0.45
12,0.9666666666666667,2.816666666666667,0.11666666666666667,1.2,0.48333333333333334
13,0.5833333333333334,52.11666666666667,3.1166666666666667,0.21666666666666667,2.433333333333333
14,12.233333333333333,0.13333333333333333,4.85,1.3833333333333333,6.05
15,2.8666666666666667,1.85,2.7666666666666666,6.266666666666667,4.05
16,3.85,0.38333333333333336,7.25,0.9333333333333333,4.333333333333333
17,1.6,0.5333333333333333,4.566666666666666,3.533333333333333,0.35
18,0.9833333333333333,8.25,0.65,2.433333333333333,6.7
19,0.0,0.0,0.0,1.0333333333333334,58.96666666666667
20,6.15,0.5166666666666667,4.416666666666667,0.4,22.8
21,0.48333333333333334,0.21666666666666667,2.0166666666666666,35.333333333333336,14.733333333333333
22,0.0,0.0,2.566666666666667,2.7333333333333334,44.016666666666666
23,1.9333333333333333,0.3,5.1,0.6166666666666667,9.95
