Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,58.56666666666667,1.3166666666666667,0.11666666666666667
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,1.5666666666666667,0.55,56.93333333333333
8,0.0,0.23333333333333334,21.366666666666667,38.1,0.3
9,1.0833333333333333,0.0,55.85,1.15,0.6666666666666666
10,4.15,0.8666666666666667,2.25,0.7833333333333333,19.7
11,3.216666666666667,0.9333333333333333,0.9,2.1666666666666665,30.7
12,4.433333333333334,8.466666666666667,0.6166666666666667,5.533333333333333,16.033333333333335
13,1.5833333333333333,2.433333333333333,26.366666666666667,2.8333333333333335,0.5666666666666667
14,3.3,2.683333333333333,0.65,2.933333333333333,9.066666666666666
15,11.983333333333333,0.31666666666666665,0.15,0.3333333333333333,2.8833333333333333
16,1.0666666666666667,0.13333333333333333,1.0666666666666667,1.9,0.5833333333333334
17,7.283333333333333,1.5,1.1,3.816666666666667,1.7166666666666666
18,1.1333333333333333,0.95,0.18333333333333332,7.4,0.3
19,0.7333333333333333,3.933333333333333,0.2,0.25,10.9
20,0.85,0.45,0.2833333333333333,0.5833333333333334,0.38333333333333336
21,6.45,0.36666666666666664,1.5166666666666666,0.4666666666666667,20.733333333333334
22,0.7833333333333333,0.48333333333333334,1.9833333333333334,22.733333333333334,31.433333333333334
23,0.0,14.333333333333334,35.11666666666667,0.45,1.4166666666666667
