Hour,green_cage,red_cage,orange_cage,yellow_cage,blue_cage
0,60.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,60.0,0.0,0.0
6,54.93333333333333,0.0,0.26666666666666666,0.0,0.9333333333333333
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,46.11666666666667,0.0,1.4333333333333333,2.283333333333333,1.2833333333333334
10,12.666666666666666,4.3,0.4,2.7333333333333334,10.833333333333334
11,54.46666666666667,0.6166666666666667,0.5,0.0,4.233333333333333
12,0.16666666666666666,7.483333333333333,4.6,1.05,0.4
13,0.5166666666666667,2.5166666666666666,1.1333333333333333,2.1,5.633333333333334
14,0.0,57.03333333333333,0.5833333333333334,0.5666666666666667,0.0
15,0.6833333333333333,6.033333333333333,0.5,5.166666666666667,6.283333333333333
16,2.7666666666666666,4.883333333333334,5.2,0.9,0.5166666666666667
17,21.016666666666666,7.716666666666667,0.38333333333333336,0.5166666666666667,6.3
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,1.4,11.633333333333333,45.666666666666664,0.0,0.0
21,4.35,6.133333333333334,5.4,0.9166666666666666,7.016666666666667
22,10.2,3.0833333333333335,4.383333333333334,4.266666666666667,0.35
23,4.616666666666666,1.1833333333333333,0.16666666666666666,2.033333333333333,3.8666666666666667
