Hour,blue_cage,green_cage,red_cage,orange_cage,yellow_cage
0,54.18333333333333,5.583333333333333,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,60.0,0.0,0.0,0.0,0.0
9,0.0,0.0,59.61666666666667,0.0,0.38333333333333336
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,60.0,0.0,0.0
12,3.433333333333333,0.0,25.566666666666666,2.95,0.0
13,0.0,8.4,29.883333333333333,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,51.28333333333333,5.1,0.0
16,0.0,15.45,44.55,0.0,0.0
17,0.0,11.933333333333334,18.216666666666665,14.883333333333333,0.8166666666666667
18,0.0,0.0,3.85,0.0,36.3
19,0.0,7.566666666666666,8.1,0.0,0.0
20,0.0,50.3,0.0,0.0,9.7
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,49.7,9.733333333333333
23,0.0,55.0,5.0,0.0,0.0
