Hour,blue_cage,green_cage,red_cage,orange_cage,yellow_cage
0,0.23333333333333334,59.766666666666666,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.4666666666666667,59.53333333333333,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,60.0,0.0,0.0,0.0,0.0
7,0.0,60.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,60.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,1.3333333333333333,0.9833333333333333,0.43333333333333335,14.666666666666666,0.55
12,1.8166666666666667,6.9,1.6666666666666667,3.1333333333333333,0.6
13,0.5833333333333334,35.68333333333333,1.2333333333333334,0.6166666666666667,0.55
14,1.6166666666666667,4.15,3.3333333333333335,10.683333333333334,0.0
15,8.933333333333334,0.8833333333333333,9.366666666666667,3.6333333333333333,0.0
16,4.916666666666667,0.45,0.4,7.5,2.283333333333333
17,9.35,1.4333333333333333,0.5833333333333334,3.5,0.6333333333333333
18,0.7666666666666667,1.8166666666666667,1.8,0.7333333333333333,0.11666666666666667
19,0.16666666666666666,1.75,5.866666666666666,5.55,0.23333333333333334
20,0.5333333333333333,3.95,3.1,1.7,2.183333333333333
21,0.26666666666666666,0.2,1.2833333333333334,0.7,2.4
22,42.88333333333333,0.18333333333333332,0.0,1.9333333333333333,0.0
23,11.633333333333333,2.3666666666666667,22.25,0.55,1.0666666666666667
