Hour,green_cage,red_cage,orange_cage,yellow_cage,blue_cage
0,60.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,21.616666666666667,0.0,2.9833333333333334,0.0,28.933333333333334
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,60.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,58.8,0.0,0.7666666666666667,0.43333333333333335,0.0
11,28.633333333333333,0.6166666666666667,4.1,5.6,2.783333333333333
12,1.8166666666666667,6.7,0.2,7.333333333333333,0.3
13,1.1166666666666667,0.0,3.183333333333333,2.25,7.05
14,0.45,6.716666666666667,7.683333333333334,1.0666666666666667,4.7
15,1.0,0.0,0.26666666666666666,4.716666666666667,2.8
16,7.283333333333333,0.0,3.316666666666667,9.1,19.75
17,0.5166666666666667,0.0,0.65,0.9166666666666666,9.283333333333333
18,0.5833333333333334,0.0,12.35,0.0,47.06666666666667
19,0.0,0.0,0.0,0.0,0.0
20,19.75,9.233333333333333,15.666666666666666,0.0,10.0
21,1.0,0.0,1.55,7.283333333333333,6.783333333333333
22,3.9833333333333334,0.0,10.333333333333334,1.1833333333333333,34.016666666666666
23,0.0,0.0,0.0,0.0,0.0
