Hour,green_cage,blue_cage,red_cage,orange_cage,yellow_cage
0,0.9333333333333333,5.483333333333333,0.0,0.0,0
1,0.0,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0
4,60.0,0.0,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0
7,56.88333333333333,0.65,2.466666666666667,0.0,0
8,0.0,0.0,0.0,0.0,0
9,15.766666666666667,10.683333333333334,0.0,0.0,0
10,51.63333333333333,2.066666666666667,0.0,1.4333333333333333,0
11,0.0,0.38333333333333336,55.05,0.7333333333333333,0
12,1.25,46.8,0.7666666666666667,1.3166666666666667,0
13,1.6833333333333333,6.016666666666667,0.0,45.36666666666667,0
14,14.266666666666667,2.316666666666667,5.533333333333333,0.25,0
15,13.933333333333334,0.11666666666666667,0.4,11.583333333333334,0
16,18.216666666666665,0.48333333333333334,3.1333333333333333,3.65,0
17,0.0,60.0,0.0,0.0,0
18,0.0,0.0,0.0,0.0,0
19,0.0,0.0,0.0,0.0,0
20,0.5833333333333334,0.0,0.0,59.416666666666664,0
21,53.083333333333336,0.26666666666666666,0.0,6.65,0
22,0.0,0.0,0.0,0.0,0
23,0.6666666666666666,6.933333333333334,13.083333333333334,5.05,0
