Hour,orange_cage,blue_cage,red_cage,yellow_cage,green_cage
0,0.8166666666666667,11.1,48.083333333333336,0,0.0
1,0.13333333333333333,59.15,0.0,0,0.7166666666666667
2,0.0,0.0,0.0,0,0.0
3,0.2,0.0,58.85,0,0.95
4,0.0,0.0,0.0,0,0.0
5,0.0,0.0,0.0,0,60.0
6,1.6333333333333333,35.8,0.0,0,0.95
7,1.7333333333333334,56.38333333333333,0.0,0,1.8833333333333333
8,0.0,0.0,0.0,0,0.0
9,3.05,0.3,3.25,0,26.266666666666666
10,0.0,0.0,0.0,0,0.0
11,2.5166666666666666,1.4666666666666666,1.3833333333333333,0,36.56666666666667
12,45.2,0.95,2.45,0,0.5166666666666667
13,0.21666666666666667,0.7,11.733333333333333,0,0.7833333333333333
14,0.6,3.65,0.9166666666666666,0,3.6
15,0.45,0.18333333333333332,2.5,0,4.666666666666667
16,0.2833333333333333,14.683333333333334,3.15,0,0.31666666666666665
17,0.3,2.1166666666666667,2.8833333333333333,0,7.016666666666667
18,1.0333333333333334,10.5,3.5,0,1.3666666666666667
19,1.9,1.4166666666666667,0.7,0,8.983333333333333
20,30.75,0.3333333333333333,3.55,0,2.216666666666667
21,1.6833333333333333,0.6166666666666667,9.866666666666667,0,20.1
22,26.483333333333334,13.733333333333333,2.183333333333333,0,0.7666666666666667
23,0.35,5.266666666666667,37.53333333333333,0,5.033333333333333
