Hour,orange_cage,blue_cage,green_cage,red_cage,yellow_cage
0,10.783333333333333,1.45,6.533333333333333,1.8333333333333333,0
1,0.5333333333333333,59.46666666666667,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0
4,0.0,2.0166666666666666,0.0,57.983333333333334,0
5,0.0,0.0,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0
7,5.416666666666667,5.983333333333333,48.6,0.0,0
8,0.0,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0
10,26.766666666666666,3.1666666666666665,25.25,2.183333333333333,0
11,1.9333333333333333,2.716666666666667,6.233333333333333,10.1,0
12,0.0,43.46666666666667,8.683333333333334,0.55,0
13,2.2333333333333334,11.283333333333333,11.266666666666667,4.9,0
14,0.26666666666666666,5.866666666666666,43.03333333333333,0.0,0
15,2.55,24.983333333333334,0.5333333333333333,0.0,0
16,6.616666666666666,4.583333333333333,20.6,14.516666666666667,0
17,0.0,6.783333333333333,53.21666666666667,0.0,0
18,0.0,1.05,8.333333333333334,12.583333333333334,0
19,1.8333333333333333,1.0833333333333333,6.6,0.5333333333333333,0
20,4.766666666666667,3.783333333333333,14.7,0.36666666666666664,0
21,0.35,0.31666666666666665,6.233333333333333,11.683333333333334,0
22,34.766666666666666,0.6666666666666666,4.816666666666666,0.0,0
23,0.0,0.0,0.0,0.0,0
