Hour,green_cage,red_cage,orange_cage,yellow_cage,blue_cage
0,60.0,0.0,0.0,0,0.0
1,0.0,0.0,0.0,0,0.0
2,0.0,0.0,0.0,0,0.0
3,0.0,0.0,0.0,0,0.0
4,0.0,0.0,0.0,0,0.0
5,0.0,0.0,0.0,0,0.0
6,0.0,0.0,0.0,0,0.0
7,0.0,0.0,0.0,0,0.0
8,0.0,57.36666666666667,0.0,0,2.6333333333333333
9,0.0,0.0,0.0,0,0.0
10,0.0,0.0,0.0,0,0.0
11,0.0,36.5,0.0,0,1.4166666666666667
12,13.8,29.683333333333334,0.7333333333333333,0,0.18333333333333332
13,0.0,0.0,0.0,0,0.0
14,0.0,0.0,60.0,0,0.0
15,60.0,0.0,0.0,0,0.0
16,58.833333333333336,1.1666666666666667,0.0,0,0.0
17,0.0,60.0,0.0,0,0.0
18,5.633333333333334,4.433333333333334,23.2,0,15.066666666666666
19,40.1,19.9,0.0,0,0.0
20,0.0,0.0,0.0,0,0.0
21,0.0,0.0,0.0,0,0.0
22,1.4333333333333333,30.2,0.0,0,0.6166666666666667
23,42.28333333333333,0.0,0.0,0,5.033333333333333
