Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
0,0.0,0.0,0,0.0,0.0
1,0.0,0.0,0,0.0,0.0
2,0.0,0.0,0,60.0,0.0
3,0.0,0.0,0,0.0,0.0
4,0.0,0.0,0,0.0,0.0
5,0.0,0.0,0,0.0,0.0
6,0.0,0.0,0,0.0,0.0
7,0.0,40.71666666666667,0,4.183333333333334,6.15
8,0.0,0.0,0,0.0,0.0
9,0.0,0.0,0,0.0,0.0
10,0.0,53.36666666666667,0,0.0,6.633333333333334
11,9.55,0.0,0,1.5166666666666666,1.05
12,0.0,0.0,0,16.783333333333335,14.35
13,0.0,28.85,0,30.3,0.85
14,6.016666666666667,6.366666666666666,0,1.45,4.983333333333333
15,0.0,0.0,0,0.0,0.0
16,0.0,0.25,0,20.8,0.6666666666666666
17,7.85,5.133333333333334,0,4.216666666666667,21.616666666666667
18,8.8,0.38333333333333336,0,0.65,32.1
19,5.116666666666666,9.75,0,13.4,10.0
20,0.0,0.0,0,0.0,60.0
21,40.45,0.0,0,0.9166666666666666,3.3333333333333335
22,1.45,14.833333333333334,0,8.25,5.0
23,0.0,29.133333333333333,0,1.3833333333333333,1.15
