Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
0,0.0,0.0,0,0.0,0.0
1,0.0,0.0,0,0.0,0.0
2,0.0,0.0,0,0.0,0.0
3,0.0,0.0,0,0.0,0.0
4,0.95,0.38333333333333336,0,46.05,11.683333333333334
5,0.0,1.7333333333333334,0,52.05,6.216666666666667
6,0.0,0.0,0,0.0,0.0
7,0.0,0.0,0,0.0,0.0
8,0.0,6.3,0,51.38333333333333,2.316666666666667
9,0.0,0.0,0,0.0,0.0
10,0.0,6.2,0,51.8,2.0
11,9.7,2.45,0,13.9,0.75
12,19.816666666666666,3.4,0,7.25,22.9
13,0.0,52.65,0,6.85,0.5
14,15.466666666666667,5.55,0,2.5833333333333335,15.233333333333333
15,6.666666666666667,0.4,0,0.4166666666666667,3.783333333333333
16,7.116666666666666,0.0,0,20.016666666666666,5.033333333333333
17,8.5,5.283333333333333,0,28.05,3.3333333333333335
18,12.416666666666666,6.95,0,0.6666666666666666,29.266666666666666
19,0.0,0.0,0,16.483333333333334,43.516666666666666
20,7.783333333333333,8.466666666666667,0,12.016666666666667,8.116666666666667
21,0.5833333333333334,12.716666666666667,0,1.8833333333333333,2.6333333333333333
22,1.2333333333333334,3.816666666666667,0,9.033333333333333,0.65
23,41.4,18.366666666666667,0,0.0,0.23333333333333334
