Hour,green_cage,blue_cage,red_cage,orange_cage,yellow_cage
0,3.3,1.7333333333333334,0.6666666666666666,14.616666666666667,0
1,0.18333333333333332,4.083333333333333,3.2,1.0,0
2,0.0,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0
4,0.0,0.0,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0
6,0.0,0.0,2.65,57.35,0
7,0.0,0.0,0.0,0.0,0
8,53.233333333333334,2.8333333333333335,0.0,3.933333333333333,0
9,0.0,0.0,0.0,0.0,0
10,55.63333333333333,0.8666666666666667,0.0,3.5,0
11,7.083333333333333,1.5333333333333334,26.583333333333332,1.55,0
12,0.6666666666666666,0.4166666666666667,6.1,12.6,0
13,1.3333333333333333,0.6333333333333333,26.883333333333333,2.95,0
14,9.716666666666667,2.283333333333333,18.566666666666666,0.35,0
15,5.15,0.25,4.183333333333334,2.216666666666667,0
16,2.85,2.8666666666666667,3.1,6.183333333333334,0
17,0.6,0.9166666666666666,8.183333333333334,1.4666666666666666,0
18,0.25,30.833333333333332,12.183333333333334,0.6333333333333333,0
19,0.0,0.0,0.0,0.0,0
20,0.45,0.35,0.0,27.683333333333334,0
21,8.416666666666666,34.6,0.0,12.85,0
22,3.55,0.5333333333333333,1.2333333333333334,3.25,0
23,8.883333333333333,4.7,12.8,15.033333333333333,0
