Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
0,0.0,0.0,0,0.0,0.0
1,0.0,0.0,0,0.0,0.0
2,0.0,0.25,0,59.75,0.0
3,0.0,0.0,0,0.0,0.0
4,0.0,1.2833333333333334,0,57.516666666666666,1.2
5,0.0,5.233333333333333,0,54.766666666666666,0.0
6,0.0,0.0,0,0.0,0.0
7,0.0,0.0,0,0.0,0.0
8,0.0,0.0,0,0.0,0.0
9,0.0,0.3333333333333333,0,38.78333333333333,6.333333333333333
10,0.0,0.0,0,0.0,60.0
11,6.433333333333334,1.0666666666666667,0,0.85,3.35
12,1.0166666666666666,3.9166666666666665,0,12.65,8.366666666666667
13,0.8833333333333333,6.616666666666666,0,6.233333333333333,4.366666666666666
14,7.316666666666666,2.6666666666666665,0,0.2833333333333333,5.35
15,3.8333333333333335,2.0,0,17.633333333333333,10.6
16,6.883333333333334,8.566666666666666,0,0.5333333333333333,2.9
17,0.0,2.75,0,0.5,5.033333333333333
18,0.0,20.966666666666665,0,1.0166666666666666,3.433333333333333
19,0.0,0.0,0,0.0,60.0
20,0.0,58.15,0,1.85,0.0
21,0.0,0.0,0,38.083333333333336,5.683333333333334
22,8.233333333333333,21.333333333333332,0,3.683333333333333,0.25
23,0.0,0.0,0,0.0,0.0
