Hour,green_cage,blue_cage,orange_cage,red_cage,yellow_cage
0,29.983333333333334,15.983333333333333,0.6,0.0,0
1,0.0,8.55,51.45,0.0,0
2,0.0,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0
4,0.0,1.75,58.25,0.0,0
5,0.0,0.0,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0
7,51.333333333333336,0.5166666666666667,0.15,0.0,0
8,0.0,0.0,0.0,0.0,0
9,60.0,0.0,0.0,0.0,0
10,42.68333333333333,10.333333333333334,6.983333333333333,0.0,0
11,1.65,29.7,0.25,1.3333333333333333,0
12,5.616666666666666,3.816666666666667,7.1,13.033333333333333,0
13,1.05,34.233333333333334,4.233333333333333,0.0,0
14,10.4,3.566666666666667,3.5833333333333335,1.9333333333333333,0
15,2.283333333333333,5.233333333333333,2.95,3.3833333333333333,0
16,11.316666666666666,0.23333333333333334,1.2,8.083333333333334,0
17,28.3,0.25,2.816666666666667,0.0,0
18,4.416666666666667,4.566666666666666,7.983333333333333,7.7,0
19,45.96666666666667,7.0,0.0,0.0,0
20,51.95,1.3333333333333333,1.4333333333333333,0.0,0
21,0.7833333333333333,19.183333333333334,0.35,0.95,0
22,4.483333333333333,8.316666666666666,4.633333333333334,4.4,0
23,0.0,0.0,0.0,0.0,0
