Hour,blue_cage,red_cage,orange_cage,yellow_cage,green_cage
0,60.0,0.0,0.0,0,0.0
1,0.0,0.0,60.0,0,0.0
2,0.0,0.0,0.0,0,0.0
3,0.0,0.0,0.0,0,0.0
4,0.38333333333333336,0.0,2.75,0,56.86666666666667
5,0.0,0.0,0.0,0,0.0
6,4.2,0.0,0.0,0,55.8
7,0.0,0.0,0.0,0,0.0
8,0.0,0.0,0.0,0,0.0
9,54.31666666666667,0.0,0.0,0,2.2
10,6.1,0.0,0.0,0,53.9
11,0.7166666666666667,25.533333333333335,1.9,0,0.38333333333333336
12,19.216666666666665,13.6,0.0,0,0.5333333333333333
13,34.11666666666667,18.866666666666667,0.36666666666666664,0,0.0
14,0.4,12.883333333333333,0.45,0,0.5666666666666667
15,6.4,1.1833333333333333,43.03333333333333,0,0.5666666666666667
16,0.38333333333333336,10.916666666666666,0.5166666666666667,0,1.0
17,2.566666666666667,8.45,7.433333333333334,0,0.5833333333333334
18,0.5166666666666667,10.3,1.0,0,0.4666666666666667
19,0.7,2.2,0.6,0,25.4
20,11.5,3.7,3.966666666666667,0,10.983333333333333
21,0.6333333333333333,9.433333333333334,1.3166666666666667,0,2.2666666666666666
22,3.3666666666666667,3.9166666666666665,0.8166666666666667,0,0.4166666666666667
23,0.0,0.0,0.0,0,0.0
