Hour,yellow_cage,orange_cage,red_cage,green_cage,blue_cage
0,2.25,1.0666666666666667,3.45,0.5833333333333334,13.816666666666666
1,0.0,0.0,42.3,0.0,17.7
2,0.0,0.0,0.0,0.0,0.0
3,0.0,60.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,59.166666666666664,0.3,0.5333333333333333
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,54.35,0.0,5.65
9,0.0,0.0,0.0,0.0,0.0
10,10.283333333333333,0.0,1.15,39.0,0.6833333333333333
11,2.716666666666667,0.26666666666666666,1.5166666666666666,4.333333333333333,27.8
12,0.0,0.0,19.366666666666667,28.183333333333334,0.0
13,0.31666666666666665,16.35,0.65,0.5333333333333333,0.9833333333333333
14,3.45,0.5833333333333334,3.183333333333333,1.1833333333333333,0.36666666666666664
15,1.6,10.116666666666667,4.866666666666666,3.15,9.533333333333333
16,9.616666666666667,2.783333333333333,8.0,9.5,2.1333333333333333
17,0.0,54.95,0.75,3.6166666666666667,0.6833333333333333
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.21666666666666667,6.05,41.983333333333334,0.9833333333333333
20,1.3833333333333333,3.2666666666666666,1.6,4.966666666666667,0.4
21,2.033333333333333,6.833333333333333,17.3,0.5,0.38333333333333336
22,4.783333333333333,0.0,1.8,0.3,10.633333333333333
23,7.083333333333333,5.533333333333333,1.4666666666666666,7.816666666666666,3.316666666666667
