Hour,green_cage,red_cage,orange_cage,yellow_cage,blue_cage
0,60.0,0.0,0.0,0.0,0.0
1,0.0,0.0,53.983333333333334,0.0,6.016666666666667
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,55.31666666666667,0.0,4.683333333333334
5,57.9,0.0,0.0,0.0,2.1
6,0.0,0.0,0.0,0.0,0.0
7,2.316666666666667,0.0,3.716666666666667,13.766666666666667,10.833333333333334
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,2.033333333333333,2.9833333333333334,0.36666666666666664,1.9333333333333333,0.43333333333333335
12,7.0,0.0,3.933333333333333,5.783333333333333,1.3
13,0.9166666666666666,3.6666666666666665,6.683333333333334,0.18333333333333332,0.25
14,13.466666666666667,3.2,2.7333333333333334,1.85,2.5166666666666666
15,3.5,0.0,0.5,0.3333333333333333,5.566666666666666
16,0.7,4.033333333333333,0.6166666666666667,2.1333333333333333,3.55
17,5.416666666666667,1.65,7.416666666666667,0.1,12.233333333333333
18,0.16666666666666666,2.5166666666666666,0.0,2.1166666666666667,7.016666666666667
19,0.0,0.0,0.0,0.0,60.0
20,3.9,0.0,0.8166666666666667,0.0,55.28333333333333
21,2.1,0.0,57.9,0.0,0.0
22,0.25,3.5833333333333335,11.933333333333334,40.93333333333333,0.4166666666666667
23,0.6833333333333333,0.8,0.0,52.56666666666667,1.6833333333333333
