Hour,green_cage,blue_cage,red_cage,yellow_cage,orange_cage
0,3.05,20.05,11.666666666666666,0.4,0.0
1,2.15,17.5,26.966666666666665,0.0,0.6166666666666667
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,4.016666666666667,0.0,0.0,55.983333333333334
5,0.8166666666666667,0.0,55.35,1.7833333333333334,0.0
6,59.583333333333336,0.0,0.0,0.0,0.4166666666666667
7,2.183333333333333,0.0,0.0,0.0,57.81666666666667
8,0.0,0.0,0.0,0.0,0.0
9,53.483333333333334,0.23333333333333334,4.866666666666666,0.0,1.4166666666666667
10,0.0,0.0,0.0,0.0,0.0
11,27.516666666666666,0.26666666666666666,6.583333333333333,0.36666666666666664,1.4833333333333334
12,4.7,1.2,2.316666666666667,0.5166666666666667,4.066666666666666
13,0.0,0.45,0.6666666666666666,58.88333333333333,0.0
14,0.6833333333333333,1.1,1.2166666666666666,0.7333333333333333,13.983333333333333
15,8.933333333333334,2.3,9.3,2.1166666666666667,3.6
16,1.35,7.366666666666666,6.7,2.966666666666667,0.31666666666666665
17,5.45,0.23333333333333334,4.216666666666667,0.0,33.8
18,0.0,0.0,0.0,0.0,0.0
19,1.85,12.85,1.2166666666666666,3.216666666666667,0.43333333333333335
20,0.8333333333333334,5.183333333333334,1.8166666666666667,17.583333333333332,26.3
21,2.9166666666666665,0.9833333333333333,1.5166666666666666,5.616666666666666,3.8666666666666667
22,0.6,5.666666666666667,7.55,2.6166666666666667,1.85
23,18.733333333333334,0.5666666666666667,1.9333333333333333,1.0833333333333333,24.316666666666666
