Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
1,0.0,1.05,22.416666666666668,0.95,2.8333333333333335
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,1.1666666666666667,1.3,2.4833333333333334,5.866666666666666,277.6166666666667
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.13333333333333333,2.15,0.08333333333333333,3.05,228.18333333333334
11,0.0,0.0,0.0,0.0,73.7
12,2.966666666666667,0.26666666666666666,1.1,1.6833333333333333,41.31666666666667
13,2.05,1.15,0.0,9.266666666666667,26.716666666666665
14,1.65,5.816666666666666,1.3166666666666667,10.466666666666667,23.3
15,0.6833333333333333,4.416666666666667,1.2166666666666666,16.25,13.65
16,0.15,0.0,2.8666666666666667,9.416666666666666,47.983333333333334
17,2.066666666666667,1.55,6.366666666666666,6.633333333333334,1.0666666666666667
18,0.15,4.333333333333333,16.916666666666668,2.2,3.85
19,0.13333333333333333,11.033333333333333,3.95,12.1,0.85
20,1.4,0.0,12.083333333333334,0.15,1.2
21,0.0,0.0,0.0,0.0,0.0
22,0.0,1.1666666666666667,0.0,0.5166666666666667,0.8666666666666667
23,0.0,6.033333333333333,0.0,9.433333333333334,3.3666666666666667
24,0.3,7.05,2.433333333333333,28.433333333333334,7.716666666666667
