Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
1,0.0,0.0,0.0,0.08333333333333333,4.4
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,509.26666666666665
10,0.18333333333333332,0.0,0.5333333333333333,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,1.5,0.0,0.0,0.0,0.0
13,6.833333333333333,2.816666666666667,0.0,0.0,0.7
14,0.5666666666666667,0.0,0.0,18.766666666666666,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.16666666666666666,3.2333333333333334,0.0,0.0,0.0
17,1.9833333333333334,0.0,0.0,1.2666666666666666,0.0
18,0.5,1.8166666666666667,0.5833333333333334,17.033333333333335,0.0
19,0.8666666666666667,0.0,0.5166666666666667,0.0,0.0
20,3.55,0.0,0.0,8.05,0.0
21,0.0,0.0,7.633333333333334,1.4,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,5.033333333333333,0.4666666666666667,0.0,0.0
24,0.6833333333333333,0.0,0.0,7.283333333333333,0.0
