Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.6166666666666667,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,1.3166666666666667,5.333333333333333,0.4666666666666667,16.816666666666666,148.96666666666667
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,161.58333333333334
10,0.0,0.0,0.0,0.0,0.0
11,0.3333333333333333,0.0,3.95,4.566666666666666,114.35
12,10.716666666666667,0.1,0.2,0.8833333333333333,40.13333333333333
13,6.583333333333333,6.166666666666667,1.4333333333333333,6.95,10.483333333333333
14,5.433333333333334,7.4,7.233333333333333,9.8,8.283333333333333
15,3.5166666666666666,4.333333333333333,0.0,1.25,0.5666666666666667
16,1.1833333333333333,0.0,0.2,1.6333333333333333,84.53333333333333
17,2.9833333333333334,3.7,15.466666666666667,7.716666666666667,5.633333333333334
18,1.5666666666666667,0.55,5.75,12.866666666666667,4.4
19,3.65,0.7666666666666667,5.083333333333333,9.533333333333333,1.6166666666666667
20,0.0,9.683333333333334,0.0,0.0,0.5333333333333333
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,130.61666666666667
23,0.08333333333333333,7.633333333333334,3.283333333333333,41.46666666666667,0.55
24,0.0,8.233333333333333,2.933333333333333,6.933333333333334,1.65
