Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
1,0.0,0.0,0.0,0.0,0.0
2,0.08333333333333333,0.4,0.0,0.5,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.03333333333333333,3.45,0.0,1.1833333333333333,269.3
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.13333333333333333,0.6166666666666667,0.0,6.8,150.05
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.16666666666666666,1.35,6.2,120.45
12,0.9666666666666667,0.03333333333333333,0.08333333333333333,4.766666666666667,67.38333333333334
13,4.166666666666667,2.5,0.26666666666666666,1.5166666666666666,10.966666666666667
14,5.95,6.866666666666666,1.4333333333333333,11.633333333333333,25.766666666666666
15,3.433333333333333,11.916666666666666,0.08333333333333333,6.366666666666666,13.55
16,0.26666666666666666,9.833333333333334,12.35,12.333333333333334,16.233333333333334
17,10.733333333333333,7.65,8.8,4.666666666666667,8.4
18,0.2,0.0,12.583333333333334,12.333333333333334,2.1666666666666665
19,0.0,4.566666666666666,0.0,35.416666666666664,0.0
20,0.13333333333333333,0.0,1.5333333333333334,5.033333333333333,93.73333333333333
21,0.5166666666666667,0.0,23.083333333333332,3.25,7.183333333333334
22,0.21666666666666667,1.45,9.566666666666666,8.916666666666666,8.066666666666666
23,1.05,1.0,13.133333333333333,10.883333333333333,6.283333333333333
24,0.0,0.05,1.9833333333333334,21.316666666666666,3.216666666666667
