Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
1,0.0,0.0,0.0,0.15,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,3.15,0.0,4.333333333333333,325.55
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,5.25,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,2.933333333333333,0.6666666666666666,0.38333333333333336,0.0
12,0.43333333333333335,0.5,0.1,1.2333333333333334,4.8
13,6.483333333333333,4.783333333333333,0.5833333333333334,5.616666666666666,10.316666666666666
14,0.0,0.5666666666666667,6.366666666666666,15.5,6.366666666666666
15,1.8166666666666667,0.5333333333333333,2.1,5.55,11.75
16,0.0,1.1833333333333333,0.2833333333333333,14.133333333333333,5.666666666666667
17,0.0,5.6,4.15,9.183333333333334,21.2
18,0.0,4.783333333333333,13.783333333333333,4.9,2.6333333333333333
19,0.0,0.25,0.0,44.083333333333336,0.25
20,0.0,0.0,0.0,0.0,0.0
21,0.08333333333333333,9.95,0.0,7.083333333333333,78.96666666666667
22,0.0,0.5166666666666667,2.4833333333333334,6.333333333333333,9.516666666666667
23,0.0,1.4333333333333333,0.13333333333333333,0.36666666666666664,16.933333333333334
24,0.0,0.0,0.0,0.0,0.0
