Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.4166666666666667,0.0,1.7,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.65,20.983333333333334,2.5166666666666666,193.15
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,2.55,0.0,0.31666666666666665,131.51666666666668
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,5.7,152.93333333333334
12,3.3833333333333333,0.0,8.916666666666666,5.533333333333333,13.083333333333334
13,0.0,0.0,0.0,0.0,0.0
14,1.1833333333333333,2.65,10.016666666666667,12.133333333333333,7.366666666666666
15,1.4666666666666666,2.1333333333333333,1.0,11.75,8.016666666666667
16,1.1833333333333333,5.25,0.0,12.366666666666667,14.65
17,1.8833333333333333,5.3,0.0,5.433333333333334,6.2
18,0.0,0.0,0.0,0.0,24.333333333333332
19,0.2833333333333333,1.8,0.0,101.05,0.13333333333333333
20,0.06666666666666667,0.0,0.0,0.0,7.2
21,0.9333333333333333,0.0,93.76666666666667,0.25,0.0
22,0.1,7.716666666666667,9.233333333333333,4.866666666666666,0.4
23,1.2666666666666666,13.3,1.5333333333333334,11.483333333333333,6.05
24,0.0,0.2833333333333333,0.0,12.116666666666667,0.3
