Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.43333333333333335,0.0
5,0.0,3.05,0.0,0.0,1.4
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,186.83333333333334
9,0.0,0.0,0.0,0.0,0.0
10,0.0,1.4333333333333333,0.0,3.7,143.8
11,0.0,0.0,0.0,0.0,0.0
12,13.083333333333334,0.15,1.4333333333333333,11.3,80.33333333333333
13,0.6333333333333333,0.0,0.0,0.5,8.883333333333333
14,0.9,2.466666666666667,2.9833333333333334,7.35,1.6
15,9.816666666666666,2.6,1.0666666666666667,9.266666666666667,5.233333333333333
16,0.0,0.0,0.0,0.0,0.0
17,3.15,2.283333333333333,4.483333333333333,3.7333333333333334,71.23333333333333
18,2.2666666666666666,13.116666666666667,4.65,13.333333333333334,4.916666666666667
19,0.85,4.65,12.6,10.2,3.55
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,3.816666666666667,6.416666666666667,6.416666666666667,18.583333333333332,8.033333333333333
23,0.95,12.0,0.2,10.683333333333334,10.166666666666666
24,0.0,0.38333333333333336,0.0,28.483333333333334,1.3333333333333333
