Time,Location,Unit number
2024-03-01 09:13:47,hub,1
2024-03-01 09:13:48,UNKNOWN,0
2024-03-01 09:13:49,UNKNOWN,0
2024-03-01 09:13:50,UNKNOWN,0
2024-03-01 09:13:51,UNKNOWN,0
2024-03-01 09:13:52,UNKNOWN,0
2024-03-01 09:13:53,UNKNOWN,0
2024-03-01 09:13:54,UNKNOWN,0
2024-03-01 09:13:55,red_tunnel,1
2024-03-01 09:13:56,UNKNOWN,0
2024-03-01 09:13:57,UNKNOWN,0
2024-03-01 09:13:58,hub,1
2024-03-01 09:13:59,UNKNOWN,0
2024-03-01 09:14:00,UNKNOWN,0
2024-03-01 09:14:01,UNKNOWN,0
2024-03-01 09:14:02,UNKNOWN,0
2024-03-01 09:14:03,UNKNOWN,0
2024-03-01 09:14:04,UNKNOWN,0
2024-03-01 09:14:05,UNKNOWN,0
2024-03-01 09:14:06,hub,1
2024-03-01 09:14:07,UNKNOWN,0
2024-03-01 09:14:08,UNKNOWN,0
2024-03-01 09:14:09,UNKNOWN,0
2024-03-01 09:14:10,hub,1
2024-03-01 09:14:11,UNKNOWN,0
2024-03-01 09:14:12,UNKNOWN,0
2024-03-01 09:14:13,UNKNOWN,0
2024-03-01 09:14:14,UNKNOWN,0
2024-03-01 09:14:15,UNKNOWN,0
2024-03-01 09:14:16,UNKNOWN,0
2024-03-01 09:14:17,UNKNOWN,0
2024-03-01 09:14:18,UNKNOWN,0
2024-03-01 09:14:19,hub,1
2024-03-01 09:14:20,UNKNOWN,0
2024-03-01 09:14:21,hub,1
