Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
2558852;12-04-2024;00:00:01;9;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
2558853;12-04-2024;00:00:02;8;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558854;12-04-2024;00:00:03;8;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558855;12-04-2024;00:00:03;8;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558856;12-04-2024;00:00:03;8;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558857;12-04-2024;00:00:03;3;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558858;12-04-2024;00:00:03;3;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558859;12-04-2024;00:00:03;3;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558860;12-04-2024;00:00:03;3;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558861;12-04-2024;00:00:03;4;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
2558862;12-04-2024;00:00:03;3;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558863;12-04-2024;00:00:03;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
2558864;12-04-2024;00:00:04;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
2558865;12-04-2024;00:00:06;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
2558866;12-04-2024;00:00:06;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
2558867;12-04-2024;00:00:07;5;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
2558868;12-04-2024;00:00:07;5;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
2558869;12-04-2024;00:00:09;10;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
2558870;12-04-2024;00:00:09;10;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
2558871;12-04-2024;00:00:09;10;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
2558872;12-04-2024;00:00:09;5;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558873;12-04-2024;00:00:09;5;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558874;12-04-2024;00:00:09;5;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558875;12-04-2024;00:00:09;5;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558876;12-04-2024;00:00:09;5;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558877;12-04-2024;00:00:09;5;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558878;12-04-2024;00:00:11;10;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558879;12-04-2024;00:00:11;10;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558880;12-04-2024;00:00:11;10;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558881;12-04-2024;00:00:11;10;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558882;12-04-2024;00:00:11;10;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558883;12-04-2024;00:00:11;10;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
2558884;12-04-2024;00:00:22;10;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558885;12-04-2024;00:00:22;10;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558886;12-04-2024;00:00:22;10;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558887;12-04-2024;00:00:22;10;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558888;12-04-2024;00:00:22;10;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558889;12-04-2024;00:00:22;10;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558890;12-04-2024;00:00:22;10;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558891;12-04-2024;00:00:22;10;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558892;12-04-2024;00:00:23;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
2558893;12-04-2024;00:00:24;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
2558894;12-04-2024;00:00:24;5;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558895;12-04-2024;00:00:24;5;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558896;12-04-2024;00:00:24;5;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558897;12-04-2024;00:00:24;5;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558898;12-04-2024;00:00:24;5;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558899;12-04-2024;00:00:24;5;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558900;12-04-2024;00:00:25;5;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558901;12-04-2024;00:00:25;5;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558902;12-04-2024;00:00:25;5;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558903;12-04-2024;00:00:25;5;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558904;12-04-2024;00:00:25;5;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558905;12-04-2024;00:00:25;5;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558906;12-04-2024;00:00:25;5;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
2558907;12-04-2024;00:00:25;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
2558908;12-04-2024;00:00:25;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
2558909;12-04-2024;00:00:25;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
