MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/20/2024 11:49:02,1.16.3,FR5,0,4.18,nan,5,Right,Left,0,1,0,0,nan,nan,0.02
5/20/2024 11:49:20,1.16.3,FR5,0,4.19,nan,5,Left,Left,1,1,0,0,nan,nan,0.19
5/20/2024 11:49:23,1.16.3,FR5,0,4.18,nan,5,Left,Left,2,1,0,0,nan,nan,0.07
5/20/2024 11:49:25,1.16.3,FR5,0,4.20,nan,5,Left,Left,3,1,0,0,nan,nan,0.05
5/20/2024 11:49:50,1.16.3,FR5,0,4.19,nan,5,Left,Left,4,1,0,0,nan,nan,0.06
5/20/2024 11:49:52,1.16.3,FR5,0,4.19,nan,5,Left,Left,5,1,0,0,nan,nan,0.19
5/20/2024 11:49:54,1.16.3,FR5,0,4.19,1,5,Pellet,Left,5,1,1,0,1.26,nan,nan
5/20/2024 11:49:56,1.16.3,FR5,0,4.19,nan,5,Left,Left,6,1,1,0,nan,nan,0.13
5/20/2024 11:49:58,1.16.3,FR5,0,4.19,nan,5,Left,Left,7,1,1,0,nan,nan,0.21
5/20/2024 11:50:00,1.16.3,FR5,0,4.20,nan,5,Left,Left,8,1,1,0,nan,nan,0.21
5/20/2024 11:50:02,1.16.3,FR5,0,4.19,nan,5,Left,Left,9,1,1,0,nan,nan,0.08
5/20/2024 11:50:03,1.16.3,FR5,0,4.18,nan,5,Left,Left,10,1,1,0,nan,nan,0.19
5/20/2024 11:50:07,1.16.3,FR5,0,4.19,1,5,Pellet,Left,10,1,2,0,3.22,13,nan
5/20/2024 11:50:12,1.16.3,FR5,0,4.19,nan,5,Left,Left,11,1,2,0,nan,nan,0.02
5/20/2024 11:50:13,1.16.3,FR5,0,4.18,nan,5,Left,Left,12,1,2,0,nan,nan,0.10
5/20/2024 11:50:14,1.16.3,FR5,0,4.19,nan,5,Left,Left,13,1,2,0,nan,nan,0.46
5/20/2024 11:50:17,1.16.3,FR5,0,4.18,nan,5,Right,Left,13,2,2,0,nan,nan,0.02
5/20/2024 11:50:18,1.16.3,FR5,0,4.18,nan,5,Right,Left,13,3,2,0,nan,nan,0.18
5/20/2024 11:50:24,1.16.3,FR5,0,4.19,nan,5,Right,Left,13,4,2,0,nan,nan,0.15
5/20/2024 11:50:25,1.16.3,FR5,0,4.19,nan,5,Left,Left,14,4,2,0,nan,nan,0.01
5/20/2024 11:50:26,1.16.3,FR5,0,4.19,nan,5,Left,Left,15,4,2,0,nan,nan,0.03
5/20/2024 11:50:29,1.16.3,FR5,0,4.19,2,5,Pellet,Left,15,4,3,0,0.56,22,nan
5/20/2024 11:50:33,1.16.3,FR5,0,4.20,nan,5,Left,Left,16,4,3,0,nan,nan,0.09
5/20/2024 11:50:45,1.16.3,FR5,0,4.19,nan,5,Left,Left,17,4,3,0,nan,nan,0.26
5/20/2024 11:50:52,1.16.3,FR5,0,4.19,nan,5,Left,Left,18,4,3,0,nan,nan,0.05
5/20/2024 11:50:53,1.16.3,FR5,0,4.19,nan,5,Left,Left,19,4,3,0,nan,nan,0.06
5/20/2024 11:50:54,1.16.3,FR5,0,4.18,nan,5,Left,Left,20,4,3,0,nan,nan,0.10
5/20/2024 11:50:55,1.16.3,FR5,0,4.18,2,5,Pellet,Left,20,4,4,0,0.31,26,nan
5/20/2024 11:51:02,1.16.3,FR5,0,4.19,nan,5,Left,Left,21,4,4,0,nan,nan,0.17
