Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1248690;04-04-2024;00:00:08;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248691;04-04-2024;00:00:08;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248692;04-04-2024;00:00:08;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248693;04-04-2024;00:00:08;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248694;04-04-2024;00:00:08;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248695;04-04-2024;00:00:10;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248696;04-04-2024;00:00:10;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248697;04-04-2024;00:00:10;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248698;04-04-2024;00:00:09;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248699;04-04-2024;00:00:09;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248700;04-04-2024;00:00:09;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248701;04-04-2024;00:00:09;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248702;04-04-2024;00:00:09;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248703;04-04-2024;00:00:09;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248704;04-04-2024;00:00:09;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248705;04-04-2024;00:00:09;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248706;04-04-2024;00:00:09;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248707;04-04-2024;00:00:09;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248708;04-04-2024;00:00:09;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248709;04-04-2024;00:00:09;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248710;04-04-2024;00:00:10;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248711;04-04-2024;00:00:10;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248712;04-04-2024;00:00:10;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248713;04-04-2024;00:00:10;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248714;04-04-2024;00:00:10;9;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248715;04-04-2024;00:00:11;4;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248716;04-04-2024;00:00:11;4;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248717;04-04-2024;00:00:16;2;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248718;04-04-2024;00:00:16;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248719;04-04-2024;00:00:17;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248720;04-04-2024;00:00:17;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248721;04-04-2024;00:00:45;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248722;04-04-2024;00:00:45;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248723;04-04-2024;00:00:45;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248724;04-04-2024;00:00:45;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248725;04-04-2024;00:00:45;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248726;04-04-2024;00:00:45;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248727;04-04-2024;00:00:49;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248728;04-04-2024;00:00:49;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248729;04-04-2024;00:00:49;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248730;04-04-2024;00:00:50;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248731;04-04-2024;00:00:50;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248732;04-04-2024;00:00:50;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248733;04-04-2024;00:00:50;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248734;04-04-2024;00:00:52;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248735;04-04-2024;00:00:58;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248736;04-04-2024;00:00:59;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248737;04-04-2024;00:00:59;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248738;04-04-2024;00:01:23;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248739;04-04-2024;00:01:24;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248740;04-04-2024;00:01:24;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248741;04-04-2024;00:01:24;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248742;04-04-2024;00:01:24;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248743;04-04-2024;00:01:23;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248744;04-04-2024;00:01:23;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248745;04-04-2024;00:01:23;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248746;04-04-2024;00:01:23;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248747;04-04-2024;00:01:23;2;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248748;04-04-2024;00:01:23;2;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248749;04-04-2024;00:01:23;2;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248750;04-04-2024;00:01:23;2;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248751;04-04-2024;00:01:24;2;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1248752;04-04-2024;00:01:25;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
1248753;04-04-2024;00:01:25;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
1248754;04-04-2024;00:01:25;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248755;04-04-2024;00:01:25;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248756;04-04-2024;00:01:25;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248757;04-04-2024;00:01:25;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248758;04-04-2024;00:01:25;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248759;04-04-2024;00:01:25;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248760;04-04-2024;00:01:25;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248761;04-04-2024;00:01:25;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248762;04-04-2024;00:01:25;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248763;04-04-2024;00:01:25;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248764;04-04-2024;00:01:26;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248765;04-04-2024;00:01:26;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
1248766;04-04-2024;00:01:32;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
1248767;04-04-2024;00:01:33;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248768;04-04-2024;00:01:33;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248769;04-04-2024;00:01:33;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248770;04-04-2024;00:01:33;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248771;04-04-2024;00:01:33;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248772;04-04-2024;00:01:33;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248773;04-04-2024;00:01:33;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248774;04-04-2024;00:01:34;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248775;04-04-2024;00:01:34;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248776;04-04-2024;00:01:34;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248777;04-04-2024;00:01:34;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248778;04-04-2024;00:01:34;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248779;04-04-2024;00:01:34;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248780;04-04-2024;00:01:34;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
1248781;04-04-2024;00:01:35;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
1248782;04-04-2024;00:01:35;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
1248783;04-04-2024;00:01:35;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
1248784;04-04-2024;00:02:17;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248785;04-04-2024;00:02:17;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248786;04-04-2024;00:02:18;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248787;04-04-2024;00:02:18;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248788;04-04-2024;00:02:18;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248789;04-04-2024;00:02:18;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248790;04-04-2024;00:02:18;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248791;04-04-2024;00:02:18;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248792;04-04-2024;00:02:18;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248793;04-04-2024;00:02:18;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248794;04-04-2024;00:02:18;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248795;04-04-2024;00:02:18;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248796;04-04-2024;00:02:20;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248797;04-04-2024;00:02:21;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248798;04-04-2024;00:02:25;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248799;04-04-2024;00:02:26;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248800;04-04-2024;00:02:26;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248801;04-04-2024;00:02:28;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248802;04-04-2024;00:02:28;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248803;04-04-2024;00:02:28;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248804;04-04-2024;00:02:38;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248805;04-04-2024;00:02:38;6;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248806;04-04-2024;00:02:45;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
1248807;04-04-2024;00:02:46;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
1248808;04-04-2024;00:02:46;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248809;04-04-2024;00:02:46;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248810;04-04-2024;00:02:46;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248811;04-04-2024;00:02:46;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248812;04-04-2024;00:02:46;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248813;04-04-2024;00:02:46;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248814;04-04-2024;00:02:47;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
1248815;04-04-2024;00:02:47;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
1248816;04-04-2024;00:02:56;2;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248817;04-04-2024;00:02:56;2;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248818;04-04-2024;00:02:56;2;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248819;04-04-2024;00:02:56;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248820;04-04-2024;00:02:56;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248821;04-04-2024;00:02:56;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248822;04-04-2024;00:02:56;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248823;04-04-2024;00:02:56;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248824;04-04-2024;00:02:59;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248825;04-04-2024;00:02:59;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248826;04-04-2024;00:02:59;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248827;04-04-2024;00:02:59;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248828;04-04-2024;00:02:59;2;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248829;04-04-2024;00:02:59;2;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248830;04-04-2024;00:02:59;2;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248831;04-04-2024;00:03:00;2;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248832;04-04-2024;00:03:06;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248833;04-04-2024;00:03:06;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
