Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1505876;21-03-2024;00:01:38;3;-;Trovan Unique;0007A3DD05;-;00000000;00000000;-;""
1505877;21-03-2024;00:08:27;3;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1505878;21-03-2024;00:08:32;7;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1505879;21-03-2024;00:09:58;3;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
1505880;21-03-2024;00:10:01;7;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
1505881;21-03-2024;00:10:01;7;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
1505882;21-03-2024;00:10:07;7;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1505883;21-03-2024;00:16:19;1;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1505884;21-03-2024;00:16:24;7;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1505885;21-03-2024;00:16:39;7;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1505886;21-03-2024;00:17:15;3;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1505887;21-03-2024;00:21:11;3;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1505888;21-03-2024;00:21:36;7;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1505889;21-03-2024;00:21:57;7;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1505890;21-03-2024;00:22:07;1;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1505891;21-03-2024;00:22:22;3;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1505892;21-03-2024;00:22:31;3;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1505893;21-03-2024;00:23:09;7;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1505894;21-03-2024;00:24:02;3;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1505895;21-03-2024;00:24:02;3;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1505896;21-03-2024;00:25:30;1;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1505897;21-03-2024;00:25:55;1;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1505898;21-03-2024;00:25:57;7;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1505899;21-03-2024;00:25:57;7;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1505900;21-03-2024;00:28:06;7;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1505901;21-03-2024;00:28:06;7;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1505902;21-03-2024;00:28:07;7;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1505903;21-03-2024;00:28:26;1;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1505904;21-03-2024;00:28:31;1;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1505905;21-03-2024;00:28:34;7;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1505906;21-03-2024;00:29:15;7;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1505907;21-03-2024;00:29:15;7;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1505908;21-03-2024;00:29:17;3;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1505909;21-03-2024;00:30:12;7;-;Trovan Unique;0007A02701;-;00000000;00000000;-;""
1505910;21-03-2024;00:30:13;7;-;Trovan Unique;0007A02701;-;00000000;00000000;-;""
1505911;21-03-2024;00:30:13;7;-;Trovan Unique;0007A02701;-;00000000;00000000;-;""
1505912;21-03-2024;00:30:26;3;-;Trovan Unique;0007A02701;-;00000000;00000000;-;""
1505913;21-03-2024;00:40:01;3;-;Trovan Unique;0007A00464;-;00000000;00000000;-;""
1505914;21-03-2024;00:40:01;3;-;Trovan Unique;0007A00464;-;00000000;00000000;-;""
1505915;21-03-2024;00:40:01;3;-;Trovan Unique;0007A00464;-;00000000;00000000;-;""
1505916;21-03-2024;00:40:03;7;-;Trovan Unique;0007A00464;-;00000000;00000000;-;""
