Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1578633;25-03-2024;00:01:06;3;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1578634;25-03-2024;00:01:07;3;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1578635;25-03-2024;00:01:06;3;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1578636;25-03-2024;00:01:06;3;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1578637;25-03-2024;00:02:44;3;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1578638;25-03-2024;00:02:44;3;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1578639;25-03-2024;00:02:44;3;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1578640;25-03-2024;00:02:44;3;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1578641;25-03-2024;00:02:44;3;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1578642;25-03-2024;00:02:45;3;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1578643;25-03-2024;00:02:56;1;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1578644;25-03-2024;00:02:56;1;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1578645;25-03-2024;00:03:26;3;-;Trovan Unique;0007A02701;-;00000000;00000000;-;""
1578646;25-03-2024;00:03:26;3;-;Trovan Unique;0007A02701;-;00000000;00000000;-;""
1578647;25-03-2024;00:03:57;3;-;Trovan Unique;0007A02701;-;00000000;00000000;-;""
1578648;25-03-2024;00:03:57;3;-;Trovan Unique;0007A02701;-;00000000;00000000;-;""
1578649;25-03-2024;00:03:57;3;-;Trovan Unique;0007A02701;-;00000000;00000000;-;""
1578650;25-03-2024;00:04:02;7;-;Trovan Unique;0007A02701;-;00000000;00000000;-;""
1578651;25-03-2024;00:04:02;7;-;Trovan Unique;0007A02701;-;00000000;00000000;-;""
1578652;25-03-2024;00:04:02;7;-;Trovan Unique;0007A02701;-;00000000;00000000;-;""
1578653;25-03-2024;00:04:11;7;-;Trovan Unique;0007A02701;-;00000000;00000000;-;""
1578654;25-03-2024;00:04:15;1;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1578655;25-03-2024;00:04:34;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1578656;25-03-2024;00:04:34;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1578657;25-03-2024;00:04:34;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
