MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/4/2024 12:36:00,1.16.3,Free_feed,0,4.02,7,0,Pellet,Left,0,0,1,0,48.83,nan,nan
11/4/2024 12:36:40,1.16.3,Free_feed,0,4.01,3,0,Pellet,Left,0,0,2,0,25.14,40,nan
11/4/2024 12:36:45,1.16.3,Free_feed,0,4.02,nan,0,LeftinTimeOut,Left,1,0,2,0,nan,nan,nan
11/4/2024 12:36:46,1.16.3,Free_feed,0,4.01,nan,0,LeftinTimeOut,Left,2,0,2,0,nan,nan,nan
11/4/2024 12:36:51,1.16.3,Free_feed,0,4.01,nan,0,LeftDuringDispense,Left,3,0,2,0,nan,nan,0.84
11/4/2024 12:36:56,1.16.3,Free_feed,0,4.02,nan,0,LeftWithPellet,Left,4,0,2,0,nan,nan,0.83
11/4/2024 12:36:56,1.16.3,Free_feed,0,4.02,2,0,Pellet,Left,4,0,3,0,1.57,16,nan
11/4/2024 12:37:01,1.16.3,Free_feed,0,4.01,nan,0,LeftinTimeOut,Left,5,0,3,0,nan,nan,nan
11/4/2024 12:37:09,1.16.3,Free_feed,0,4.02,nan,0,LeftWithPellet,Left,6,0,3,0,nan,nan,0.84
11/4/2024 12:37:09,1.16.3,Free_feed,0,4.01,1,0,Pellet,Left,6,0,4,0,1.55,13,nan
11/4/2024 12:37:25,1.16.3,Free_feed,0,4.02,1,0,Pellet,Left,6,0,5,0,3.79,16,nan
11/4/2024 12:37:30,1.16.3,Free_feed,0,4.02,nan,0,RightinTimeout,Left,6,1,5,0,nan,nan,0.00
11/4/2024 12:37:32,1.16.3,Free_feed,0,4.01,nan,0,RightDuringDispense,Left,6,2,5,0,nan,nan,0.24
11/4/2024 12:37:40,1.16.3,Free_feed,0,4.02,nan,0,RightWithPellet,Left,6,3,5,0,nan,nan,0.19
11/4/2024 12:37:47,1.16.3,Free_feed,0,4.02,2,0,Pellet,Left,6,3,6,0,11.91,22,nan
11/4/2024 12:37:52,1.16.3,Free_feed,0,4.02,nan,0,LeftinTimeOut,Left,7,3,6,0,nan,nan,nan
11/4/2024 12:38:02,1.16.3,Free_feed,0,4.02,nan,0,LeftWithPellet,Left,8,3,6,0,nan,nan,3.70
11/4/2024 12:38:02,1.16.3,Free_feed,0,4.02,2,0,Pellet,Left,8,3,7,0,0.31,15,nan
11/4/2024 12:38:07,1.16.3,Free_feed,0,4.02,nan,0,LeftinTimeOut,Left,9,3,7,0,nan,nan,nan
11/4/2024 12:38:11,1.16.3,Free_feed,0,4.01,nan,0,LeftDuringDispense,Left,10,3,7,0,nan,nan,2.45
11/4/2024 12:38:17,1.16.3,Free_feed,0,4.02,nan,0,LeftWithPellet,Left,11,3,7,0,nan,nan,2.15
11/4/2024 12:38:22,1.16.3,Free_feed,0,4.01,2,0,Pellet,Left,11,3,8,0,8.24,20,nan
11/4/2024 12:38:31,1.16.3,Free_feed,0,4.02,nan,0,LeftDuringDispense,Left,12,3,8,0,nan,nan,0.06
11/4/2024 12:38:35,1.16.3,Free_feed,0,4.02,nan,0,LeftDuringDispense,Left,13,3,8,0,nan,nan,0.85
11/4/2024 12:38:35,1.16.3,Free_feed,0,4.01,nan,0,LeftWithPellet,Left,14,3,8,0,nan,nan,0.25
11/4/2024 12:38:36,1.16.3,Free_feed,0,4.02,2,0,Pellet,Left,14,3,9,0,1.15,14,nan
