MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/24/2015 15:05:55,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,0,1,0,0,nan,nan,0.21
7/24/2015 15:06:00,1.16.3,FR1_R,0,4.20,2,1,Pellet,Right,0,1,1,0,2.07,nan,nan
7/24/2015 15:06:02,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,0,2,1,0,nan,nan,0.08
7/24/2015 15:06:03,1.16.3,FR1_R,0,4.20,nan,1,LeftDuringDispense,Right,1,2,1,0,nan,nan,0.35
7/24/2015 15:06:04,1.16.3,FR1_R,0,4.21,1,1,Pellet,Right,1,2,2,0,0.12,4,nan
7/24/2015 15:06:10,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,1,3,2,0,nan,nan,0.01
7/24/2015 15:06:14,1.16.3,FR1_R,0,4.21,2,1,Pellet,Right,1,3,3,0,2.56,10,nan
7/24/2015 15:06:26,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,1,4,3,0,nan,nan,0.03
7/24/2015 15:06:28,1.16.3,FR1_R,0,4.21,1,1,Pellet,Right,1,4,4,0,1.28,14,nan
7/24/2015 15:06:30,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,1,5,4,0,nan,nan,0.01
7/24/2015 15:06:33,1.16.3,FR1_R,0,4.21,1,1,Pellet,Right,1,5,5,0,2.56,5,nan
7/24/2015 15:06:43,1.16.3,FR1_R,0,4.22,nan,1,Right,Right,1,6,5,0,nan,nan,0.09
7/24/2015 15:06:48,1.16.3,FR1_R,0,4.21,1,1,Pellet,Right,1,6,6,0,4.34,15,nan
7/24/2015 15:07:04,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,1,7,6,0,nan,nan,0.02
7/24/2015 15:07:04,1.16.3,FR1_R,0,4.20,nan,1,RightDuringDispense,Right,1,8,6,0,nan,nan,0.03
7/24/2015 15:07:04,1.16.3,FR1_R,0,4.22,nan,1,RightDuringDispense,Right,1,9,6,0,nan,nan,0.03
7/24/2015 15:07:07,1.16.3,FR1_R,0,4.21,nan,1,RightWithPellet,Right,1,10,6,0,nan,nan,0.02
7/24/2015 15:07:08,1.16.3,FR1_R,0,4.22,2,1,Pellet,Right,1,10,7,0,1.09,20,nan
7/24/2015 15:07:13,1.16.3,FR1_R,0,4.20,nan,1,Right,Right,1,11,7,0,nan,nan,0.02
7/24/2015 15:07:14,1.16.3,FR1_R,0,4.20,nan,1,RightDuringDispense,Right,1,12,7,0,nan,nan,0.09
7/24/2015 15:07:16,1.16.3,FR1_R,0,4.21,nan,1,RightDuringDispense,Right,1,13,7,0,nan,nan,0.02
7/24/2015 15:07:18,1.16.3,FR1_R,0,4.21,nan,1,RightDuringDispense,Right,1,14,7,0,nan,nan,0.01
7/24/2015 15:07:19,1.16.3,FR1_R,0,4.21,nan,1,RightWithPellet,Right,1,15,7,0,nan,nan,0.06
7/24/2015 15:07:21,1.16.3,FR1_R,0,4.21,3,1,Pellet,Right,1,15,8,0,2.59,13,nan
7/24/2015 15:07:26,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,1,16,8,0,nan,nan,0.00
7/24/2015 15:07:32,1.16.3,FR1_R,0,4.21,2,1,Pellet,Right,1,16,9,0,4.28,11,nan
7/24/2015 15:07:35,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,1,17,9,0,nan,nan,0.02
7/24/2015 15:07:39,1.16.3,FR1_R,0,4.21,2,1,Pellet,Right,1,17,10,0,2.20,7,nan
7/24/2015 15:07:49,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,1,18,10,0,nan,nan,0.04
7/24/2015 15:07:50,1.16.3,FR1_R,0,4.21,1,1,Pellet,Right,1,18,11,0,0.12,11,nan
7/24/2015 15:07:56,1.16.3,FR1_R,0,4.21,nan,1,Left,Right,2,18,11,0,nan,nan,0.00
7/24/2015 15:07:56,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,2,19,11,0,nan,nan,0.00
7/24/2015 15:07:57,1.16.3,FR1_R,0,4.21,2,1,Pellet,Right,2,19,12,0,0.06,7,nan
7/24/2015 15:08:13,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,2,20,12,0,nan,nan,0.33
7/24/2015 15:08:16,1.16.3,FR1_R,0,4.21,2,1,Pellet,Right,2,20,13,0,0.67,19,nan
7/24/2015 15:08:19,1.16.3,FR1_R,0,4.22,nan,1,Right,Right,2,21,13,0,nan,nan,0.12
7/24/2015 15:08:20,1.16.3,FR1_R,0,4.21,1,1,Pellet,Right,2,21,14,0,0.12,4,nan
7/24/2015 15:08:31,1.16.3,FR1_R,0,4.21,nan,1,Left,Right,3,21,14,0,nan,nan,0.01
7/24/2015 15:08:36,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,3,22,14,0,nan,nan,0.12
7/24/2015 15:08:38,1.16.3,FR1_R,0,4.21,1,1,Pellet,Right,3,22,15,0,0.73,18,nan
7/24/2015 15:08:42,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,3,23,15,0,nan,nan,0.04
7/24/2015 15:08:44,1.16.3,FR1_R,0,4.21,2,1,Pellet,Right,3,23,16,0,1.77,6,nan
7/24/2015 15:08:51,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,3,24,16,0,nan,nan,0.02
7/24/2015 15:08:53,1.16.3,FR1_R,0,4.21,1,1,Pellet,Right,3,24,17,0,1.22,9,nan
7/24/2015 15:08:56,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,3,25,17,0,nan,nan,0.12
7/24/2015 15:08:57,1.16.3,FR1_R,0,4.20,nan,1,RightDuringDispense,Right,3,26,17,0,nan,nan,0.24
7/24/2015 15:09:02,1.16.3,FR1_R,0,4.20,2,1,Pellet,Right,3,26,18,0,2.38,9,nan
7/24/2015 15:09:15,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,3,27,18,0,nan,nan,0.05
7/24/2015 15:09:16,1.16.3,FR1_R,0,4.21,1,1,Pellet,Right,3,27,19,0,0.24,14,nan
7/24/2015 15:09:52,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,3,28,19,0,nan,nan,0.00
7/24/2015 15:09:54,1.16.3,FR1_R,0,4.21,1,1,Pellet,Right,3,28,20,0,2.01,38,nan
7/24/2015 15:10:13,1.16.3,FR1_R,0,4.21,nan,1,Left,Right,4,28,20,0,nan,nan,0.20
7/24/2015 15:10:14,1.16.3,FR1_R,0,4.22,nan,1,Left,Right,5,28,20,0,nan,nan,0.16
7/24/2015 15:10:31,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,5,29,20,0,nan,nan,0.09
7/24/2015 15:10:32,1.16.3,FR1_R,0,4.21,1,1,Pellet,Right,5,29,21,0,0.85,38,nan
7/24/2015 15:10:45,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,5,30,21,0,nan,nan,0.06
7/24/2015 15:10:50,1.16.3,FR1_R,0,4.20,1,1,Pellet,Right,5,30,22,0,4.22,18,nan
7/24/2015 15:11:08,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,5,31,22,0,nan,nan,0.05
7/24/2015 15:11:12,1.16.3,FR1_R,0,4.21,2,1,Pellet,Right,5,31,23,0,1.28,22,nan
7/24/2015 15:11:15,1.16.3,FR1_R,0,4.21,nan,1,Left,Right,6,31,23,0,nan,nan,0.00
7/24/2015 15:11:20,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,6,32,23,0,nan,nan,0.13
7/24/2015 15:11:25,1.16.3,FR1_R,0,4.21,1,1,Pellet,Right,6,32,24,0,3.73,13,nan
7/24/2015 15:11:33,1.16.3,FR1_R,0,4.21,nan,1,Right,Right,6,33,24,0,nan,nan,0.27
7/24/2015 15:11:37,1.16.3,FR1_R,0,4.22,2,1,Pellet,Right,6,33,25,0,3.55,12,nan
