Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
782230;25-11-2024;00:00:06;1;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782231;25-11-2024;00:00:11;3;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782232;25-11-2024;00:00:11;3;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782233;25-11-2024;00:00:39;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782234;25-11-2024;00:00:39;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782235;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782236;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782237;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782238;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782239;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782240;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782241;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782242;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782243;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782244;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782245;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782246;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782247;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782248;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782249;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782250;25-11-2024;00:00:40;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782251;25-11-2024;00:01:30;8;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782252;25-11-2024;00:01:30;3;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782253;25-11-2024;00:01:30;3;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782254;25-11-2024;00:01:33;5;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782255;25-11-2024;00:01:33;5;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782256;25-11-2024;00:01:33;5;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782257;25-11-2024;00:01:33;5;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782258;25-11-2024;00:01:34;10;-;Trovan Unique;0007A3AA93;-;00000000;00000000;-;""
782259;25-11-2024;00:04:09;10;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782260;25-11-2024;00:04:09;10;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782261;25-11-2024;00:04:09;10;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782262;25-11-2024;00:04:09;10;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782263;25-11-2024;00:04:09;10;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782264;25-11-2024;00:04:09;10;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782265;25-11-2024;00:04:09;10;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782266;25-11-2024;00:04:10;5;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782267;25-11-2024;00:04:10;5;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782268;25-11-2024;00:04:10;5;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782269;25-11-2024;00:04:10;5;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782270;25-11-2024;00:04:13;3;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782271;25-11-2024;00:04:13;3;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782272;25-11-2024;00:04:14;3;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782273;25-11-2024;00:04:14;3;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782274;25-11-2024;00:04:14;3;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782275;25-11-2024;00:04:14;8;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782276;25-11-2024;00:04:37;8;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
782277;25-11-2024;00:04:37;8;-;Trovan Unique;00079FE409;-;00000000;00000000;-;""
