Mouse,Cage,Time (min)
79FEADE,orange_cage,1.2455673758865247
79FEADE,yellow_cage,5.779432624113475
79FEADE,green_cage,10.674468085106383
79FEADE,blue_cage,5.446808510638298
79FEADE,hub,1374.2037234042552
79FEADE,red_cage,10.546808510638298
79FED08,orange_cage,0.9923758865248227
79FED08,yellow_cage,1.4015957446808511
79FED08,green_cage,3.7140070921985817
79FED08,blue_cage,2.55354609929078
79FED08,hub,1390.817730496454
79FED08,red_cage,9.59113475177305
7A2EFA1,orange_cage,0.8420212765957448
7A2EFA1,yellow_cage,4.239716312056738
7A2EFA1,green_cage,1.3726950354609928
7A2EFA1,blue_cage,4.658687943262412
7A2EFA1,hub,1188.3604609929077
7A2EFA1,red_cage,10.268262411347518
79FEC60,orange_cage,3.789007092198582
79FEC60,yellow_cage,10.327127659574469
79FEC60,green_cage,22.24822695035461
79FEC60,blue_cage,435.0455673758865
79FEC60,hub,893.722695035461
79FEC60,red_cage,14.685992907801419
7A40088,orange_cage,2.8161347517730495
7A40088,yellow_cage,5.196453900709219
7A40088,green_cage,8.667553191489361
7A40088,blue_cage,6.82854609929078
7A40088,hub,1168.715425531915
7A40088,red_cage,12.919148936170213
7A02701,orange_cage,0.8161347517730496
7A02701,yellow_cage,2.395567375886525
7A02701,green_cage,6.7875886524822695
7A02701,blue_cage,5.275354609929078
7A02701,hub,1354.1262411347518
7A02701,red_cage,16.575177304964537
7A2E90C,orange_cage,1.3875886524822696
7A2E90C,yellow_cage,5.761170212765957
7A2E90C,green_cage,6.2820921985815605
7A2E90C,blue_cage,4.541489361702127
7A2E90C,hub,961.0340425531915
7A2E90C,red_cage,8.037056737588653
79FC3C6,orange_cage,0.823758865248227
79FC3C6,yellow_cage,10.831028368794327
79FC3C6,green_cage,6.810106382978723
79FC3C6,blue_cage,5.540602836879433
79FC3C6,hub,745.5423758865248
79FC3C6,red_cage,7.385283687943263
7A3A179,orange_cage,1.0127659574468086
7A3A179,yellow_cage,3.377836879432624
7A3A179,green_cage,9.476063829787234
7A3A179,blue_cage,3.1459219858156025
7A3A179,hub,1375.0627659574468
7A3A179,red_cage,13.490248226950353
7A3DC62,orange_cage,1.8028368794326242
7A3DC62,yellow_cage,2.909751773049645
7A3DC62,green_cage,4.696453900709219
7A3DC62,blue_cage,2.643617021276596
7A3DC62,hub,1192.5879432624113
7A3DC62,red_cage,5.878546099290781
7A3FDE2,orange_cage,0.598404255319149
7A3FDE2,yellow_cage,0.7950354609929078
7A3FDE2,green_cage,4.966134751773049
7A3FDE2,blue_cage,4.284397163120568
7A3FDE2,hub,1393.4640070921987
7A3FDE2,red_cage,6.683510638297872
7A00464,orange_cage,1.6074468085106381
7A00464,yellow_cage,2.245921985815603
7A00464,green_cage,11.836879432624114
7A00464,blue_cage,2.6269503546099293
7A00464,hub,950.1962765957446
7A00464,red_cage,15.210460992907802
7A3C016,orange_cage,1.474468085106383
7A3C016,yellow_cage,1.1551418439716312
7A3C016,green_cage,8.110283687943262
7A3C016,blue_cage,3.251418439716312
7A3C016,hub,954.9090425531915
7A3C016,red_cage,5.158510638297872
7A3931B,orange_cage,1.2154255319148937
7A3931B,yellow_cage,3.8780141843971636
7A3931B,green_cage,3.522517730496454
7A3931B,blue_cage,6.701418439716312
7A3931B,hub,962.7663120567377
7A3931B,red_cage,4.524290780141844
7A3C408,orange_cage,6.350354609929077
7A3C408,yellow_cage,3.5595744680851067
7A3C408,green_cage,10.478900709219857
7A3C408,blue_cage,16.925886524822694
7A3C408,hub,1209.1097517730495
7A3C408,red_cage,17.361879432624114
79FEEA8,orange_cage,1.425886524822695
79FEEA8,yellow_cage,2.8801418439716313
79FEEA8,green_cage,7.467553191489362
79FEEA8,blue_cage,4.662234042553192
79FEEA8,hub,760.4358156028368
79FEEA8,red_cage,11.287234042553191
7A3DD05,orange_cage,4.302304964539007
7A3DD05,yellow_cage,9.78741134751773
7A3DD05,green_cage,11.234751773049645
7A3DD05,blue_cage,9.463829787234042
7A3DD05,hub,742.088120567376
7A3DD05,red_cage,11.780319148936169
79F8602,orange_cage,1.2539007092198582
79F8602,yellow_cage,3.2249999999999996
79F8602,green_cage,7.498404255319149
79F8602,blue_cage,8.342198581560284
79F8602,hub,1184.7617021276596
79F8602,red_cage,10.323049645390071
